id,token,pos,class,meaning,idiomliteral
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
,",",",",,,
,things,NNS,,,
,are,VBP,,,
,very,RB,,,
,slow,JJ,,,
15777,it,PRP,Metaphor,,
,has,VBZ,,,
,been,VBN,,,
,the,DT,,,
,reason,NN,,,
,why,WRB,,,
,the,DT,,,
,jazz,NN,,,
,poets,NNS,,,
,have,VBP,,,
,hit,VBN,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
15778,this,DT,Metaphor,,
,will,MD,,,
,determine,VB,,,
,whether,IN,,,
,UK-REITs,JJ,,,
,hit,VBD,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
,in,IN,,,
,January,NNP,,,
15779,this,DT,Metaphor,,
,will,MD,,,
,show,VB,,,
,whether,IN,,,
,they,PRP,,,
,will,MD,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
15780,We,PRP,Metaphor,,
,were,VBD,,,
,able,JJ,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
,as,RB,,,
,soon,RB,,,
,as,IN,,,
,our,PRP$,,,
,doors,NNS,,,
,opened,VBN,,,
,for,IN,,,
,business,NN,,,
15781,they,PRP,Metaphor,,
,were,VBD,,,
,able,JJ,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
15782,managerial,JJ,Metaphor,,
,talent,NN,,,
,of,IN,,,
,the,DT,,,
,highest,JJS,,,
,calibre,NN,,,
,who,WP,,,
,can,MD,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
15783,who,WP,Metaphor,,
,among,IN,,,
,them,PRP,,,
,can,MD,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
,?,.,,,
15784,Blokhin,NNP,Metaphor,,
,'s,POS,,,
,men,NNS,,,
,can,MD,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
,against,IN,,,
,the,DT,,,
,Spaniards,NNS,,,
15785,you,PRP,Metaphor,,
,wo,MD,,,
,n't,RB,,,
,just,RB,,,
,thrash,VB,,,
,out,RP,,,
,the,DT,,,
,basics,NNS,,,
,",",",",,,
,but,CC,,,
,you,PRP,,,
,'ll,MD,,,
,be,VB,,,
,able,JJ,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
15786,you,PRP,Metaphor,,
,'ll,MD,,,
,be,VB,,,
,able,JJ,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
,when,WRB,,,
,it,PRP,,,
,comes,VBZ,,,
,to,TO,,,
,the,DT,,,
,next,JJ,,,
,phase,NN,,,
15787,You,PRP,Metaphor,,
,should,MD,,,
,be,VB,,,
,able,JJ,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,ground,NN,,,
,running,VBG,,,
15788,hit,VB,Metaphor,get along,
,it,PRP,,,
,off,RP,,,
15789,They,PRP,Metaphor,,
,hit,VBD,,,
,it,PRP,,,
,off,RP,,,
,at,IN,,,
,once,RB,,,
15790,Yes,UH,Metaphor,,
,",",",",,,
,he,PRP,,,
,and,CC,,,
,Molly,NNP,,,
,certainly,RB,,,
,seemed,VBD,,,
,to,TO,,,
,hit,VB,,,
,it,PRP,,,
,off,RP,,,
,well,RB,,,
15791,they,PRP,Metaphor,,
,certainly,RB,,,
,hit,VBD,,,
,it,PRP,,,
,off,RP,,,
,well,RB,,,
15792,On,IN,Metaphor,,
,paper,NN,,,
,it,PRP,,,
,would,MD,,,
,have,VB,,,
,been,VBN,,,
,perfect,JJ,,,
,",",",",,,
,but,CC,,,
,they,PRP,,,
,did,VBD,,,
,n't,RB,,,
,exactly,RB,,,
,hit,VB,,,
,it,PRP,,,
,off,RP,,,
15793,they,PRP,Metaphor,,
,did,VBD,,,
,n't,RB,,,
,exactly,RB,,,
,hit,VB,,,
,it,PRP,,,
,off,RP,,,
15794,Birds,NNS,Metaphor,,
,and,CC,,,
,cats,NNS,,,
,",",",",,,
,as,IN,,,
,everyone,NN,,,
,knows,NNS,,,
,",",",",,,
,do,VBP,,,
,not,RB,,,
,normally,RB,,,
,hit,VB,,,
,it,PRP,,,
,off,RP,,,
15795,they,PRP,Metaphor,,
,do,VBP,,,
,not,RB,,,
,normally,RB,,,
,hit,VB,,,
,it,PRP,,,
,off,RP,,,
15796,We,PRP,Metaphor,,
,really,RB,,,
,hit,VBD,,,
,it,PRP,,,
,off,RP,,,
,",",",",,,
,said,VBD,,,
,Jenny,NNP,,,
15797,Before,IN,Metaphor,,
,Crawford,NNP,,,
,hit,VBD,,,
,it,PRP,,,
,off,RP,,,
,with,IN,,,
,McQueen,NNP,,,
,",",",",,,
,they,PRP,,,
,had,VBD,,,
,a,DT,,,
,confrontation,NN,,,
,on,IN,,,
,the,DT,,,
,set,NN,,,
15798,Crawford,NNP,Metaphor,,
,hit,VBD,,,
,it,PRP,,,
,off,RP,,,
,with,IN,,,
,McQueen,NNP,,,
,early,JJ,,,
15799,they,PRP,Metaphor,,
,might,MD,,,
,have,VB,,,
,hit,VBN,,,
,it,PRP,,,
,off,RP,,,
15800,The,DT,Metaphor,,
,office,NN,,,
,manager,NN,,,
,and,CC,,,
,I,PRP,,,
,did,VBD,,,
,n't,RB,,,
,hit,VB,,,
,it,PRP,,,
,off,RP,,,
15801,We,PRP,Metaphor,,
,did,VBD,,,
,n't,RB,,,
,do,VB,,,
,quite,RB,,,
,so,RB,,,
,well,RB,,,
,",",",",,,
,but,CC,,,
,we,PRP,,,
,really,RB,,,
,hit,VBD,,,
,it,PRP,,,
,off,RP,,,
15802,I,PRP,Metaphor,,
,thought,VBD,,,
,they,PRP,,,
,were,VBD,,,
,begining,VBG,,,
,to,TO,,,
,hit,VB,,,
,it,PRP,,,
,off,RP,,,
,together,RB,,,
15803,explanations,NNS,Metaphor,,
,of,IN,,,
,why,WRB,,,
,they,PRP,,,
,could,MD,,,
,not,RB,,,
,hit,VB,,,
,it,PRP,,,
,off,RP,,,
15804,hit,VB,Metaphor,be successful in an attempt,
,the,DT,,,
,mark,NN,,,
15805,why,WRB,Metaphor,,
,should,MD,,,
,they,PRP,,,
,penalise,VB,,,
,Conner,NNP,,,
,?,.,,,
,We,PRP,,,
,hit,VBD,,,
,the,DT,,,
,mark,NN,,,
15806,they,PRP,Metaphor,,
,need,VBP,,,
,proper,JJ,,,
,atmosphere,NN,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,mark,NN,,,
15807,We,PRP,Metaphor,,
,hit,VBP,,,
,the,DT,,,
,mark,NN,,,
15808,that,DT,Metaphor,,
,really,RB,,,
,hit,VB,,,
,the,DT,,,
,mark,NN,,,
,too,RB,,,
15809,Robyn,NNP,Metaphor,,
,knew,VBD,,,
,she,PRP,,,
,had,VBD,,,
,hit,VBN,,,
,the,DT,,,
,mark,NN,,,
15810,the,DT,Metaphor,,
,Star,NNP,,,
,Wars,NNP,,,
,films,NNS,,,
,had,VBD,,,
,already,RB,,,
,hit,VBN,,,
,the,DT,,,
,mark,NN,,,
,with,IN,,,
,computer-controlled,JJ,,,
,model,NN,,,
,shots,NNS,,,
,of,IN,,,
,space,NN,,,
,ships,NNS,,,
15811,the,DT,Metaphor,,
,Star,NNP,,,
,Wars,NNP,,,
,films,NNS,,,
,had,VBD,,,
,already,RB,,,
,hit,VBN,,,
,the,DT,,,
,mark,NN,,,
15812,it,PRP,Metaphor,,
,had,VBD,,,
,already,RB,,,
,hit,VBN,,,
,the,DT,,,
,mark,NN,,,
15813,T2,NN,Metaphor,,
,follows,VBZ,,,
,this,DT,,,
,trend,NN,,,
,but,CC,,,
,somehow,RB,,,
,fails,VBZ,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,mark,NN,,,
,due,JJ,,,
,to,TO,,,
,poorly,RB,,,
,designed,VBN,,,
,sequences,NNS,,,
15814,T2,NN,Metaphor,,
,follows,VBZ,,,
,this,DT,,,
,trend,NN,,,
,but,CC,,,
,fails,VBZ,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,mark,NN,,,
15815,It,PRP,Metaphor,,
,was,VBD,,,
,a,DT,,,
,guess,NN,,,
,",",",",,,
,though,RB,,,
,scarcely,RB,,,
,a,DT,,,
,wild,JJ,,,
,one,CD,,,
,",",",",,,
,and,CC,,,
,Cunningham,NNP,,,
,'s,POS,,,
,reaction,NN,,,
,confirmed,VBD,,,
,it,PRP,,,
,had,VBD,,,
,hit,VBN,,,
,the,DT,,,
,mark,NN,,,
15816,Cunningham,NNP,Metaphor,,
,'s,POS,,,
,reaction,NN,,,
,confirmed,VBD,,,
,it,PRP,,,
,had,VBD,,,
,hit,VBN,,,
,the,DT,,,
,mark,NN,,,
15817,their,PRP$,Metaphor,,
,reaction,NN,,,
,showed,VBD,,,
,it,PRP,,,
,had,VBD,,,
,hit,VBN,,,
,the,DT,,,
,mark,NN,,,
15818,Words,NNS,Metaphor,,
,do,VBP,,,
,n't,RB,,,
,always,RB,,,
,hit,VB,,,
,the,DT,,,
,mark,NN,,,
,",",",",,,
,do,VBP,,,
,they,PRP,,,
,?,.,,,
15819,your,PRP$,Metaphor,,
,words,NNS,,,
,usually,RB,,,
,hit,VBP,,,
,the,DT,,,
,mark,NN,,,
15820,hit,VB,Metaphor,find exactly the right answer,Yes
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
15821,Are,NNP,Metaphor,,
,you,PRP,,,
,admitting,VBG,,,
,I,PRP,,,
,'ve,VBP,,,
,hit,VBN,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,?,.,,,
15822,you,PRP,Metaphor,,
,admitted,VBD,,,
,I,PRP,,,
,'d,MD,,,
,hit,VB,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
15823,I,PRP,Metaphor,,
,admit,VBP,,,
,she,PRP,,,
,hit,VBD,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
15824,You,PRP,Metaphor,,
,hit,VBP,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,there,RB,,,
,",",",",,,
,David,NNP,,,
15825,David,NNP,Metaphor,,
,hit,VBD,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,there,RB,,,
15826,Fender,NN,Metaphor,,
,have,VBP,,,
,certainly,RB,,,
,hit,VBN,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,with,IN,,,
,this,DT,,,
,one,NN,,,
15827,they,PRP,Metaphor,,
,have,VBP,,,
,certainly,RB,,,
,hit,VBN,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
15828,The,DT,Metaphor,,
,moment,NN,,,
,she,PRP,,,
,said,VBD,,,
,it,PRP,,,
,she,PRP,,,
,knew,VBD,,,
,she,PRP,,,
,had,VBD,,,
,hit,VBN,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
15829,Geraldine,NNP,Metaphor,,
,Lynn,NNP,,,
,hit,VBD,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
15830,if,IN,Metaphor,,
,I,PRP,,,
,may,MD,,,
,say,VB,,,
,so,RB,,,
,",",",",,,
,you,PRP,,,
,have,VBP,,,
,hit,VBN,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,with,IN,,,
,your,PRP$,,,
,reference,NN,,,
,to,TO,,,
,the,DT,,,
,registration,NN,,,
15831,you,PRP,Metaphor,,
,have,VBP,,,
,hit,VBN,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,with,IN,,,
,your,PRP$,,,
,reference,NN,,,
,to,TO,,,
,the,DT,,,
,registration,NN,,,
15832,Lynn,NNP,Metaphor,,
,has,VBZ,,,
,hit,VBN,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,with,IN,,,
,that,DT,,,
,reference,NN,,,
15833,Actually,RB,Metaphor,,
,",",",",,,
,you,PRP,,,
,'ve,VBP,,,
,hit,VBN,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,there,RB,,,
,",",",",,,
,have,VBP,,,
,n't,RB,,,
,you,PRP,,,
,?,.,,,
15834,exactly,RB,Metaphor,,
,",",",",,,
,you,PRP,,,
,'ve,VBP,,,
,hit,VBN,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,there,RB,,,
,Dee,NNP,,,
,",",",",,,
,escapism,NN,,,
15835,no,DT,Metaphor,,
,one,NN,,,
,'s,POS,,,
,hit,PDT,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
15836,David,NNP,Literal,,
,hit,VBD,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,with,IN,,,
,the,DT,,,
,hammer,NN,,,
15837,we,PRP,Literal,,
,have,VBP,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,to,TO,,,
,get,VB,,,
,it,PRP,,,
,out,RP,,,
15838,hit,VB,Literal,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,to,TO,,,
,get,VB,,,
,it,PRP,,,
,out,RP,,,
15839,it,PRP,Literal,,
,takes,VBZ,,,
,time,NN,,,
,after,IN,,,
,one,CD,,,
,hits,VBZ,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,to,TO,,,
,get,VB,,,
,it,PRP,,,
,out,RP,,,
15840,hit,VB,Literal,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,of,IN,,,
,the,DT,,,
,wood,NN,,,
15841,Mark,NNP,Literal,,
,decided,VBD,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,nail,NN,,,
,on,IN,,,
,the,DT,,,
,head,NN,,,
,of,IN,,,
,the,DT,,,
,wood,NN,,,
15842,hit,VB,Metaphor,set out on a journey,
,the,DT,,,
,road,NN,,,
15843,Well,IN,Metaphor,,
,it,PRP,,,
,'s,VBZ,,,
,time,NN,,,
,now,RB,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,road,NN,,,
,with,IN,,,
,the,DT,,,
,London,NNP,,,
,Sydney,NNP,,,
,car,NN,,,
,marathon,NN,,,
15844,Susan,NNP,Metaphor,,
,Sarandon,NNP,,,
,hit,VBD,,,
,the,DT,,,
,road,NN,,,
,with,IN,,,
,a,DT,,,
,vengeance,NN,,,
15845,Malc,NNP,Metaphor,,
,closed,VBD,,,
,the,DT,,,
,shop,NN,,,
,eventually,RB,,,
,and,CC,,,
,we,PRP,,,
,hit,VBP,,,
,the,DT,,,
,road,NN,,,
,together,RB,,,
,once,RB,,,
,again,RB,,,
15846,we,PRP,Metaphor,,
,hit,VBP,,,
,the,DT,,,
,road,NN,,,
,together,RB,,,
15847,As,RB,Metaphor,,
,soon,RB,,,
,as,IN,,,
,he,PRP,,,
,was,VBD,,,
,out,IN,,,
,of,IN,,,
,the,DT,,,
,bathroom,NN,,,
,he,PRP,,,
,put,VBD,,,
,on,IN,,,
,his,PRP$,,,
,tracksuit,NN,,,
,and,CC,,,
,hit,VBD,,,
,the,DT,,,
,road,NN,,,
15848,A,DT,Metaphor,,
,newsletter,NN,,,
,for,IN,,,
,taxi-drivers,NNS,,,
,hit,VBP,,,
,the,DT,,,
,road,NN,,,
,this,DT,,,
,week,NN,,,
15849,former,JJ,Metaphor,,
,journalist,NN,,,
,John,NNP,,,
,Brook,NNP,,,
,has,VBZ,,,
,hit,VBN,,,
,the,DT,,,
,road,NN,,,
,to,TO,,,
,pursue,VB,,,
,his,PRP$,,,
,love,NN,,,
,of,IN,,,
,folk,NN,,,
,music,NN,,,
15850,When,WRB,Metaphor,,
,you,PRP,,,
,hit,VBP,,,
,the,DT,,,
,road,NN,,,
,this,DT,,,
,is,VBZ,,,
,the,DT,,,
,man,NN,,,
,you,PRP,,,
,have,VBP,,,
,to,TO,,,
,beat,VB,,,
15851,a,DT,Metaphor,,
,year,NN,,,
,before,IN,,,
,Charlton,NNP,,,
,hit,VBD,,,
,the,DT,,,
,road,NN,,,
,to,TO,,,
,Selhurst,NNP,,,
15852,the,DT,Metaphor,,
,Roadshow,NNP,,,
,hit,VBD,,,
,the,DT,,,
,road,NN,,,
,on,IN,,,
,its,PRP$,,,
,way,NN,,,
,to,TO,,,
,Avoniel,VB,,,
15853,grand,JJ,Metaphor,,
,prix,NN,,,
,circus,NN,,,
,is,VBZ,,,
,getting,VBG,,,
,ready,JJ,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,road,NN,,,
,for,IN,,,
,another,DT,,,
,season,NN,,,
15854,Dave,NNP,Metaphor,,
,and,CC,,,
,Richard,NNP,,,
,hit,VBD,,,
,the,DT,,,
,road,NN,,,
,with,IN,,,
,great,JJ,,,
,enthusiasm,NN,,,
15855,the,DT,Metaphor,,
,Ulster,NNP,,,
,Society,NNP,,,
,are,VBP,,,
,about,IN,,,
,to,TO,,,
,hit,VB,,,
,the,DT,,,
,road,NN,,,
,on,IN,,,
,one,CD,,,
,of,IN,,,
,their,PRP$,,,
,magical,JJ,,,
,history,NN,,,
,tours,NNS,,,
15856,So,RB,Metaphor,,
,next,JJ,,,
,time,NN,,,
,you,PRP,,,
,hit,VBP,,,
,the,DT,,,
,road,NN,,,
,make,VBP,,,
,sure,JJ,,,
,it,PRP,,,
,does,VBZ,,,
,n't,RB,,,
,hit,VB,,,
,back,RB,,,
15857,Wait,NN,Metaphor,,
,for,IN,,,
,me,PRP,,,
,when,WRB,,,
,you,PRP,,,
,hit,VBP,,,
,the,DT,,,
,road,NN,,,
15858,go,VB,Metaphor,do something completely,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
15859,unless,IN,Metaphor,,
,you,PRP,,,
,go,VBP,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
,",",",",,,
,quarantine,NN,,,
,is,VBZ,,,
,no,DT,,,
,guarantee,NN,,,
,that,IN,,,
,all,DT,,,
,will,MD,,,
,be,VB,,,
,well,RB,,,
15860,unless,IN,Metaphor,,
,you,PRP,,,
,go,VBP,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
15861,unless,IN,Metaphor,,
,she,PRP,,,
,goes,VBZ,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
15862,If,IN,Metaphor,,
,I,PRP,,,
,were,VBD,,,
,you,PRP,,,
,I,PRP,,,
,'d,MD,,,
,go,VB,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
15863,Sam,NNP,Metaphor,,
,sips,VBZ,,,
,tentatively,RB,,,
,at,IN,,,
,a,DT,,,
,half,NN,,,
,of,IN,,,
,lager,NN,,,
,while,IN,,,
,the,DT,,,
,siblings,NNS,,,
,go,VBP,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
15864,the,DT,Metaphor,,
,siblings,NNS,,,
,went,VBD,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
15865,do,VBP,Metaphor,,
,n't,RB,,,
,stop,VB,,,
,now,RB,,,
,!,.,,,
,Let,VB,,,
,'s,POS,,,
,go,VB,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
15866,Then,RB,Metaphor,,
,you,PRP,,,
,go,VBP,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
,",",",",,,
,have,VBP,,,
,whatever,VBN,,,
,else,RB,,,
,is,VBZ,,,
,available,JJ,,,
15867,Then,RB,Metaphor,,
,you,PRP,,,
,can,MD,,,
,go,VB,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
15868,you,PRP,Metaphor,,
,'ll,MD,,,
,have,VB,,,
,to,TO,,,
,go,VB,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
,and,CC,,,
,invest,NN,,,
,in,IN,,,
,it,PRP,,,
15869,Why,WRB,Metaphor,,
,not,RB,,,
,go,VB,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
,and,CC,,,
,book,NN,,,
,yourself,PRP,,,
,into,IN,,,
,a,DT,,,
,health,NN,,,
,farm,NN,,,
15870,I,PRP,Metaphor,,
,'ll,MD,,,
,go,VB,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
,and,CC,,,
,get,VB,,,
,my,PRP$,,,
,blood,NN,,,
,fixed,VBD,,,
,too,RB,,,
15871,Mind,NNP,Metaphor,,
,you,PRP,,,
,",",",",,,
,Ralph,NNP,,,
,did,VBD,,,
,go,VB,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
,with,IN,,,
,it,PRP,,,
15872,why,WRB,Metaphor,,
,not,RB,,,
,go,VB,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
,and,CC,,,
,put,VB,,,
,a,DT,,,
,roof,NN,,,
,over,IN,,,
,it,PRP,,,
,as,RB,,,
,well,RB,,,
15873,he,PRP,Metaphor,,
,'s,VBZ,,,
,one,CD,,,
,of,IN,,,
,the,DT,,,
,few,JJ,,,
,popular,JJ,,,
,frontists,NNS,,,
,prepared,VBD,,,
,to,TO,,,
,go,VB,,,
,the,DT,,,
,whole,JJ,,,
,hog,NN,,,
15874,hold,VB,Metaphor,be the centre of attention amidst a crowd,
,court,NN,,,
15875,There,EX,Metaphor,,
,the,DT,,,
,Gwraggedd,NNP,,,
,hold,NN,,,
,court,NN,,,
,",",",",,,
,surrounded,VBN,,,
,by,IN,,,
,beautiful,NN,,,
,gardens,NNS,,,
15876,So,RB,Metaphor,,
,Shaun,NNP,,,
,got,VBD,,,
,to,TO,,,
,hold,VB,,,
,court,NN,,,
15877,She,PRP,Metaphor,,
,would,MD,,,
,hold,VB,,,
,court,NN,,,
15878,he,PRP,Metaphor,,
,would,MD,,,
,wander,VB,,,
,into,IN,,,
,corner,NN,,,
,pubs,NNS,,,
,and,CC,,,
,hold,VB,,,
,court,NN,,,
15879,Ken,NNP,Metaphor,,
,would,MD,,,
,hold,VB,,,
,court,NN,,,
,for,IN,,,
,his,PRP$,,,
,various,JJ,,,
,theatrical,JJ,,,
,acquaintances,NNS,,,
15880,Antoinette,NNP,Metaphor,,
,continued,VBD,,,
,to,TO,,,
,hold,VB,,,
,court,NN,,,
,at,IN,,,
,the,DT,,,
,Mother-in-Law,NNP,,,
,Lounge,NNP,,,
15881,a,DT,Metaphor,,
,pompous,JJ,,,
,character,NN,,,
,who,WP,,,
,would,MD,,,
,hold,VB,,,
,court,NN,,,
,in,IN,,,
,a,DT,,,
,bed-sit,NN,,,
,somewhere,RB,,,
15882,massive,JJ,Metaphor,,
,banks,NNS,,,
,of,IN,,,
,CGI,NNP,,,
,did,VBD,,,
,n't,RB,,,
,hold,VB,,,
,court,NN,,,
,in,IN,,,
,the,DT,,,
,horror,NN,,,
,arena,NN,,,
15883,They,PRP,Metaphor,,
,often,RB,,,
,hold,VBP,,,
,court,NN,,,
,for,IN,,,
,the,DT,,,
,lesser,JJR,,,
,ones,NNS,,,
,to,TO,,,
,attend,VB,,,
,and,CC,,,
,benefit,VB,,,
,from,IN,,,
,their,PRP$,,,
,mystery,NN,,,
,utterances,NNS,,,
15884,They,PRP,Metaphor,,
,often,RB,,,
,hold,VBP,,,
,court,NN,,,
,for,IN,,,
,the,DT,,,
,lesser,JJR,,,
,ones,NNS,,,
15885,he,PRP,Metaphor,,
,would,MD,,,
,light,VB,,,
,a,DT,,,
,cigar,NN,,,
,and,CC,,,
,hold,JJ,,,
,court,NN,,,
,in,IN,,,
,bed,NN,,,
,",",",",,,
,giving,VBG,,,
,dictation,NN,,,
,or,CC,,,
,discussing,NN,,,
,developments,NNS,,,
15886,she,PRP,Metaphor,,
,would,MD,,,
,light,VB,,,
,a,DT,,,
,cigar,NN,,,
,and,CC,,,
,hold,JJ,,,
,court,NN,,,
,in,IN,,,
,bed,NN,,,
,",",",",,,
,giving,VBG,,,
,dictation,NN,,,
15887,he,PRP,Metaphor,,
,would,MD,,,
,light,VB,,,
,a,DT,,,
,cigar,NN,,,
,and,CC,,,
,hold,JJ,,,
,court,NN,,,
,in,IN,,,
,bed,NN,,,
15888,A,DT,Metaphor,,
,record,NN,,,
,entry,NN,,,
,as,IN,,,
,juniors,NNS,,,
,hold,VBP,,,
,court,NN,,,
15889,you,PRP,Metaphor,,
,'d,MD,,,
,get,VB,,,
,to,TO,,,
,go,VB,,,
,out,RP,,,
,and,CC,,,
,hold,VB,,,
,court,NN,,,
,for,IN,,,
,an,DT,,,
,hour,NN,,,
,in,IN,,,
,front,NN,,,
,of,IN,,,
,adoring,VBG,,,
,Japanese,JJ,,,
,press,NN,,,
15890,hold,VB,Metaphor,take responsibility for a situation while someone is absent,
,the,DT,,,
,fort,NN,,,
15891,now,RB,Metaphor,,
,you,PRP,,,
,hold,VBP,,,
,the,DT,,,
,fort,NN,,,
,while,IN,,,
,we,PRP,,,
,climb,VBP,,,
,out,IN,,,
,of,IN,,,
,it,PRP,,,
15892,I,PRP,Metaphor,,
,'ll,MD,,,
,stay,VB,,,
,here,RB,,,
,and,CC,,,
,hold,VB,,,
,the,DT,,,
,fort,NN,,,
15893,Hold,VB,Metaphor,,
,the,DT,,,
,fort,NN,,,
,here,RB,,,
,.,.,,,
,If,IN,,,
,the,DT,,,
,bombing,NN,,,
,starts,VBZ,,,
,",",",",,,
,take,VB,,,
,cover,NN,,,
,in,IN,,,
,the,DT,,,
,basement,NN,,,
15894,Hold,VB,Metaphor,,
,the,DT,,,
,fort,NN,,,
,here,RB,,,
15895,I,PRP,Metaphor,,
,expressed,VBD,,,
,my,PRP$,,,
,gratitude,NN,,,
,at,IN,,,
,his,PRP$,,,
,willingness,NN,,,
,to,TO,,,
,hold,VB,,,
,the,DT,,,
,fort,NN,,,
,in,IN,,,
,the,DT,,,
,boarding,NN,,,
,annexe,NN,,,
15896,I,PRP,Metaphor,,
,saw,VBD,,,
,his,PRP$,,,
,willingness,NN,,,
,to,TO,,,
,hold,VB,,,
,the,DT,,,
,fort,NN,,,
15897,She,PRP,Metaphor,,
,'ll,MD,,,
,be,VB,,,
,at,IN,,,
,work,NN,,,
,",",",",,,
,but,CC,,,
,Liz,NNP,,,
,should,MD,,,
,be,VB,,,
,able,JJ,,,
,to,TO,,,
,hold,VB,,,
,the,DT,,,
,fort,NN,,,
,it,PRP,,,
,necessary,JJ,,,
15898,Liz,NNP,Metaphor,,
,will,MD,,,
,be,VB,,,
,able,JJ,,,
,to,TO,,,
,hold,VB,,,
,the,DT,,,
,fort,NN,,,
15899,I,PRP,Metaphor,,
,'m,VBP,,,
,sure,JJ,,,
,Becky,NNP,,,
,can,MD,,,
,hold,VB,,,
,the,DT,,,
,fort,NN,,,
15900,I,PRP,Metaphor,,
,'ll,MD,,,
,hold,VB,,,
,the,DT,,,
,fort,NN,,,
,and,CC,,,
,fill,NN,,,
,you,PRP,,,
,in,IN,,,
,when,WRB,,,
,you,PRP,,,
,get,VBP,,,
,back,RB,,,
15901,I,PRP,Metaphor,,
,'ll,MD,,,
,hold,VB,,,
,the,DT,,,
,fort,NN,,,
15902,Frogmore,RB,Metaphor,,
